TIMESTAMP,H,FILLED,QC,HAT,SAMPLE,STDDEV,METHOD,QC_HAT,TIMEWINDOW
200801032200,-9999,-28.9179,3,-28.9179,15,11.2651,3,3,463
200801032230,-9999,-26.6092,3,-26.6092,15,10.3864,3,3,463
200801032300,-9999,-26.5524,3,-26.5524,15,10.8956,3,3,463
200801032330,-9999,-26.2987,3,-26.2987,15,11.3913,3,3,463
200801040000,-9999,-26.6114,3,-26.6114,15,11.327,3,3,463
200801040030,-9999,-27.0851,3,-27.0851,15,11.6685,3,3,463
200801040100,-9999,-27.0388,3,-27.0388,15,11.817,3,3,463
200801040130,-9999,-26.8005,3,-26.8005,15,11.5286,3,3,463
200801040200,-9999,-27.66,3,-27.66,15,11.5657,3,3,463
200801040230,-9999,-29.1105,3,-29.1105,15,11.6444,3,3,463
200801040300,-9999,-29.7168,3,-29.7168,15,11.0041,3,3,463
200801040330,-9999,-32.0427,3,-32.0427,15,10.808,3,3,463
200801040400,-9999,-34.6739,3,-34.6739,15,11.7918,3,3,463
200801040430,-9999,-34.162,3,-34.162,15,10.5921,3,3,463
200801040500,-9999,-32.4959,3,-32.4959,15,10.033,3,3,463
200801040530,-9999,-30.0982,3,-30.0982,15,11.0489,3,3,463
200801040600,-9999,-27.3328,3,-27.3328,15,11.0471,3,3,463
200801040630,-9999,-24.2999,3,-24.2999,15,7.37233,3,3,463
200801040700,-9999,-22.2831,3,-22.2831,15,7.55818,3,3,463
200801040730,-9999,-19.9224,3,-19.9224,15,9.49314,3,3,463
200801040800,-9999,-11.8011,3,-11.8011,15,19.6328,3,3,463
200801040830,-9999,3.04971,3,3.04971,15,33.4396,3,3,463
200801040900,-9999,24.1139,3,24.1139,15,49.9303,3,3,463
200801040930,-9999,53.7653,3,53.7653,15,61.3715,3,3,463
200801041000,-9999,88.4078,3,88.4078,15,66.5982,3,3,463
200801041030,-9999,112.266,3,112.266,15,62.6583,3,3,463
200801041100,-9999,130.342,3,130.342,15,62.9977,3,3,463
200801041130,-9999,140.612,3,140.612,15,54.5329,3,3,463
200801041200,-9999,145.31,3,145.31,15,64.5505,3,3,463
200801041230,-9999,144.568,3,144.568,15,61.6395,3,3,463
200801041300,-9999,150.06,3,150.06,15,67.9719,3,3,463
200801041330,-9999,140.466,3,140.466,15,66.2195,3,3,463
200801041400,-9999,130.264,3,130.264,15,74.4535,3,3,463
200801041430,-9999,113.185,3,113.185,15,68.0472,3,3,463
200801041500,-9999,98.9094,3,98.9094,15,68.7911,3,3,463
200801041530,-9999,71.83,3,71.83,15,61.3288,3,3,463
